Company,Source,State,Year,# Employees,Female,Male,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or Pacific Islander,Two or more races,White,Rating,Ratings
Amazon,https://www.aboutamazon.com/news/workplace/our-workforce-data,Washington,2021,,47,53,1.7,13.17,28.14,23.55,0,3.29,30.14,4,"{'Work/Life Balance': '4.0', 'Compensation/Benefits': '3.9', 'Job Security/Advancement': '3.4', 'Management': '3.3', 'Culture': '3.9'}"
Pinterest,https://newsroom.pinterest.com/en/post/pinterest-2021-inclusion-diversity-report,California,2021,,51,48,0,40.4,7.07,6.06,0,4.04,38.38,4.2,"{'Work/Life Balance': '4.6', 'Compensation/Benefits': '4.1', 'Job Security/Advancement': '3.6', 'Management': '3.6', 'Culture': '4.1'}"
Synopsys,https://www.synopsys.com/careers/inclusion-diversity.html#present,California,2022,,25,75,0,51,1,4,0,0,40,4.5,"{'Work/Life Balance': '4.6', 'Compensation/Benefits': '4.8', 'Job Security/Advancement': '4.2', 'Management': '4.1', 'Culture': '4.3'}"
Meta/Facebook,https://diversity.fb.com/2021-report/,California,2021,,36.7,63.3,0,44.22,4.38,6.27,0,3.88,40.84,3.7,"{'Work/Life Balance': '3.8', 'Compensation/Benefits': '3.2', 'Job Security/Advancement': '3.1', 'Management': '3.2', 'Culture': '3.5'}"
Twitter,https://blog.twitter.com/en_us/topics/company/2019/inclusion-and-diversity-report-september-2019,California,2019,,0,0,0.1,27.2,5.1,4.4,0,3.4,41.1,4.1,"{'Work/Life Balance': '3.8', 'Compensation/Benefits': '4.1', 'Job Security/Advancement': '3.3', 'Management': '3.5', 'Culture': '3.9'}"
Intuit,https://www.intuit.com/company/corporate-responsibility/diversity/,California,2022,,42,57,0.1,30.94,5.99,8.98,0.1,2.99,41.92,3.9,"{'Work/Life Balance': '3.7', 'Compensation/Benefits': '4.0', 'Job Security/Advancement': '3.3', 'Management': '3.5', 'Culture': '3.6'}"
Cloudera,https://www.cloudera.com/about/diversity-equality-inclusion.html?tab=1,California,2022,,27,72.6,0.25,35.6,3.7,5,0.25,2.3,45,4.2,"{'Work/Life Balance': '3.9', 'Compensation/Benefits': '4.1', 'Job Security/Advancement': '3.5', 'Management': '3.6', 'Culture': '4.0'}"
Microsoft,https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RE5aCrh,California,2022,,30.7,69.3,0.4,35.8,6.6,7.6,0.2,2.6,46.7,4.2,"{'Work/Life Balance': '3.9', 'Compensation/Benefits': '3.9', 'Job Security/Advancement': '3.6', 'Management': '3.6', 'Culture': '4.1'}"
Atlassian,https://www.atlassian.com/company/corporate-social-responsibility/report,USA,2022,,34.7,65.3,0,32.7,3.41,6.22,0,4.81,50.15,4.1,"{'Work/Life Balance': '4.0', 'Compensation/Benefits': '3.9', 'Job Security/Advancement': '3.7', 'Management': '3.7', 'Culture': '3.9'}"
Workday,https://www.workday.com/content/dam/web/en-us/documents/other/workday-2021-global-impact-report.pdf,California,2021,,40.1,59.9,0.2,32.2,2.8,5.1,0.7,3.2,51.7,4.3,"{'Work/Life Balance': '4.1', 'Compensation/Benefits': '4.2', 'Job Security/Advancement': '3.7', 'Management': '3.7', 'Culture': '4.1'}"
Cisco,https://www.cisco.com/c/en/us/about/inclusion-diversity/us.html,California,2020,,27,73,0.2,36.5,4.1,5.8,0.2,1.4,51.8,4.2,"{'Work/Life Balance': '4.1', 'Compensation/Benefits': '4.2', 'Job Security/Advancement': '3.5', 'Management': '3.7', 'Culture': '4.1'}"
Yelp,https://blog.yelp.com/wp-content/uploads/2021/12/Yelp-Diversity-Report-2021.pdf,California,2021,,42.4,57.6,0.6,15.78,12.69,12.59,0,5,53.35,4.3,"{'Work/Life Balance': '4.0', 'Compensation/Benefits': '4.3', 'Job Security/Advancement': '3.8', 'Management': '3.7', 'Culture': '4.2'}"
VMware,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/pdf/company/vmw-annual-report-2022.pdf,California,2022,,29.2,70.8,0,31.97,4.4,7.09,0,2.1,53.85,3.5,"{'Work/Life Balance': '3.6', 'Compensation/Benefits': '3.4', 'Job Security/Advancement': '3.2', 'Management': '3.3', 'Culture': '3.7'}"
Adobe,https://blog.adobe.com/en/publish/2022/04/12/adobes-fy2021-diversity-inclusion-year-in-review,California,2021,,33.8,66.2,0,29.17,2.8,5.19,0,2.5,55.34,4.1,"{'Work/Life Balance': '3.9', 'Compensation/Benefits': '4.1', 'Job Security/Advancement': '3.4', 'Management': '3.4', 'Culture': '3.9'}"
Salesforce,https://www.salesforce.com/news/stories/annual-equality-update-2022/,California,2022,,38.3,61.7,0.2,25.93,4.8,5.31,0.3,2.9,55.76,3.6,"{'Work/Life Balance': '3.3', 'Compensation/Benefits': '3.7', 'Job Security/Advancement': '3.2', 'Management': '3.2', 'Culture': '3.4'}"
Uber,https://uber.app.box.com/s/97uk6h0jhuwrrwq4n0mldpaqd51ttbyh?uclick_id=a1fa86cc-2bf8-4198-947c-f4597d5ada1d,California,2022,,37.4,62.6,0.3,30.2,3.4,4.6,0,2.6,58.9,4.1,"{'Work/Life Balance': '4.1', 'Compensation/Benefits': '4.0', 'Job Security/Advancement': '3.4', 'Management': '3.6', 'Culture': '3.9'}"
